Date,Goal1Nom,Goal1Rel,Goal1Lvl,Perf1,ParTelic,DesToResp1,DesToResp2,DesToResp3,DesToResp4Reco,DesToRespScl,Interested,Distressed,Excited,Upset,Strong,Guilty,Scared,Hostile,Enthusiastic,Proud,Irritable,Alert,Ashamed,Inspired,Nervous,Determined,Attentive,Jittery,Active,Afraid,PA,NA,PercepAcc1,PercepAcc2,PercepAcc3,PercepAcc4Reco,PercepAcc5,PercepAccScl,DisJust1,DisJust2,DisJust3,DisJust4,DisJustScl,Goal2Nom,Goal2Rel,Goal2Lvl,Perf2,ConfJudg,Similar,ExplainDiff,ExplainFind,Ethnicity,Latino,Age,Gender,Education,Occupation,CurrentTenure,WorkExp,FdbkType,FdbkTypeN,FdbkValence,FdbkValN,MetGoal,FdbkAccuracy,FdbkAccN,GoalRevision,PerfResidGain,GoalResidGain,PerfRevision,Condition,ConditionN
9/24/17 19:28,,60%,5,4,Paratelic,3,1,1,3,2,1,3,1,5,1,5,1,2,1,1,5,5,5,1,2,5,5,1,1,1,2.2,3,3,5,3,3,3,3.4,5,4,4,4,4.25,,60%,5,5,Not at All/Very Low,Low,"Most other projects are just surveys, no research.",Googling &lt;university name&gt; colors rgb.,White,No,29,Male,Graduate or professional degree,"Professionals (e.g., Engineer, Lawyer)",3,6,relative,2,positive,1,1,accurate,1,0,1.07,0.6,1,relativepositiveaccurate,7
10/17/17 14:29,,80%,6,0,Telic,1,2,2,5,2.5,2,4,1,1,3,1,1,1,2,1,1,2,1,1,4,3,3,1,1,1,1.9,1.6,1,3,3,4,3,2.8,3,3,3,3,3,,20%,3,0,Not at All/Very Low,Low,it relies on knowing how to get the codes and how to do so efficiently ,via google ,White,No,21,Male,Associate's degree,Other,4,4,relative,2,negative,2,0,accurate,1,-3,-0.56,-1.4,0,relativenegativeaccurate,5
9/24/17 19:28,6,,7,4,Paratelic,2,2,2,4,2.5,2,2,1,2,1,2,1,1,1,1,2,3,3,1,1,2,2,1,3,1,1.7,1.6,5,4,5,5,5,4.8,2,5,5,5,4.25,3,,4,6,Very High,Not at All/Very Low,I've never looked up colors of universities before. ,"I simply googled ""university name"" RGB Code and then clicked the 1st link. 90% of the time it lead me to a page with the code.",White,No,28,Male,Bachelor's degree,"Professionals (e.g., Engineer, Lawyer)",2,7,nominal,1,negative,2,0,accurate,1,-3,1.92,-1,2,nominalnegativeaccurate,1
9/24/17 19:28,3,,4,2,Paratelic,5,5,5,5,5,5,2,1,2,1,5,1,2,1,1,1,5,5,3,5,3,5,1,1,2,2.6,2.6,1,1,1,1,1,1,1,1,1,1,1,2,,3,3,Not at All/Very Low,Not at All/Very Low,I found it odd that the feedback i was given was wrong  I only successfully got 2 colleges codes correct (i only found 2) in the first task but it said i reached my goal of 3,i searched on google and checked the first website lested,Black or African American,No,31,Male,"Some college, no degree","Service workers (e.g., Cook, Hairdresser)",2,6,nominal,1,positive,1,0,inaccurate,2,-1,0.92,-0.23,1,nominalpositiveinaccurate,4
10/8/17 18:16,,40%,4,2,Paratelic,5,4,2,3,3.5,4,2,4,3,2,3,2,4,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,5,5,5,5,5,,0%,1,0,High,Not at All/Very Low,,Searched  google,Black or African American,No,27,Female,Associate's degree,"Professionals (e.g., Engineer, Lawyer)",1,8,relative,2,negative,2,0,accurate,1,-3,-1.65,-1.72,-2,relativenegativeaccurate,5
10/14/17 12:16,3,,4,2,Telic,3,2,3,3,2.75,2,4,1,4,1,2,2,4,1,1,5,3,2,1,4,3,2,4,1,3,1.6,3.4,4,4,3,4,4,3.8,2,4,4,3,3.25,2,,3,2,High,Not at All/Very Low,I've never had to find codes in a timed setting. The feedback process was also unique to any projects I've done before.,"I googled, ""RGB codes for (insert university name)"", and clicked on the first link listed. I then control F searched for the codes in the page. Sometimes I would have to click 2 or 3 links to find the answer.",Black or African American,No,21,Female,"Some college, no degree",Other,1,3,nominal,1,negative,2,0,accurate,1,-1,0.06,-0.23,0,nominalnegativeaccurate,1
9/24/17 19:29,,80%,6,0,Telic,4,3,4,4,3.75,4,1,2,1,2,2,1,1,2,2,1,5,1,3,1,4,5,1,3,1,3.2,1.1,3,3,3,3,3,3,4,3,2,2,2.75,,80%,6,1,Low,Not at All/Very Low,I have no experience with RGB codes,I googled the university /RGB,White,No,49,Male,Bachelor's degree,"First/mid level officials and managers (e.g., Operations Manager, Vice President)",15,24,relative,2,positive,1,0,inaccurate,2,0,0.3,0.85,1,relativepositiveinaccurate,8
9/24/17 19:33,,100%,7,2,Telic,4,2,2,3,2.75,4,4,1,3,1,1,1,1,1,1,4,4,1,1,3,3,4,1,4,1,2.4,2,5,3,4,5,4,4.2,3,4,4,4,3.75,,60%,5,2,High,Low,I had to look stuff off on the internet,I copied the school name and then typed rgb.  I then went to the first website that came up. I then copied the result and pasted into the field.  I then reformatted if needed to enter commas or spaces,White,No,46,Female,Graduate or professional degree,"Professionals (e.g., Engineer, Lawyer)",1,20,relative,2,negative,2,0,accurate,1,-2,0.06,-0.26,0,relativenegativeaccurate,5
10/1/17 18:52,,100%,7,2,Telic,4,4,4,2,3.5,4,2,2,2,2,2,2,2,4,3,2,3,2,2,2,5,2,3,2,2,2.9,2.1,4,3,3,4,3,3.4,4,4,4,4,4,,80%,6,2,Moderate,Moderate,,online searches via google,White,No,24,Male,Graduate or professional degree,"Professionals (e.g., Engineer, Lawyer)",2,2,relative,2,negative,2,0,accurate,1,-1,0.06,0.49,0,relativenegativeaccurate,5
10/15/17 17:23,,40%,4,1,Telic,4,3,3,5,3.75,3,1,3,1,5,1,1,1,4,4,1,4,1,4,1,5,4,1,4,1,4,1,4,4,4,4,4,4,4,4,4,4,4,,60%,5,1,Moderate,Low,Most other projects have a list of questions on different topics or aspects of your personality.  I have never had to open another web page and get information before,I typed into google ' university of michigan rgb codes' etc,White,No,43,Female,Graduate or professional degree,"Administrative support workers (e.g., Secretary, Dispatcher)",1,23,relative,2,positive,1,0,inaccurate,2,1,-0.49,1.27,0,relativepositiveinaccurate,8
